"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
,,"E","EEEC","A-27EC002",,,"ER001","27",,"AMB Control Cabinet 2nd Stage Compressor","Process deck","AQ300","LV swb. room 1","3000","800","2200","2.4",,,"PERM","0.15","1600","1840",,"328372","403528","509265",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-27ER001",,,"EE004","27",,"VSD 1st Stage Compressor","Process deck","AQ400","HV VSD room","13600","1600","2800","21.76",,,"PERM","0.15","12000","13800",,"325808","394800","516650",,,,,,,,,,,,,,,,,"12000",,,,,,,,,,"ABB ACS 5069-W3B-D5  (Same size as ?SC). Water cooled",,,,,
,,"E","EEER","A-27ER002",,,"EE004","27",,"VSD 2nd Stage Compressor","Process deck","AQ400","HV VSD room","13600","1600","2800","21.76",,,"PERM","0.15","12000","13800",,"328008","400500","515250",,,,,,,,,,,,,,,,,"12000",,,,,,,,,,"ABB ACS 5069-W3B-D5  (Same size as ?SC). Water cooled",,,,,
,,"E","EEER","A-27ER003",,,"ER020","27",,"Thyristor Control Panel for 27FE001","Mezzanine deck","AQ300","LV swb. room 1","2000","1800","500","3.6",,,"PERM","0.15","500","575",,"323963","397121","509200",,,,,,,,,,,,,,,,,,,,,,,,,,,"Located in Main LV Switcboard room. Exheat provided info",,,,,
,,"E","EEER","A-27ER004A",,,"ER018","27",,"VSD 1st Stage Compressor Suction Scrubber Pump A","Mezzanine deck","AQ300","LV swb. room 1","600","800","2200","0.64",,,"PERM","0.15","300","345",,"323480","399127","509301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-27ER004B",,,"ER018","27",,"VSD 1st Stage Compressor Suction Scrubber Pump B","Mezzanine deck","AQ300","LV swb. room 1","600","800","2200","0.64",,,"PERM","0.15","300","345",,"324290","399127","509301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEET","A-27ET001",,,"EE004","27",,"100/2 kV Transformer 18 MVA 1st Stage Compressor","Process deck","AQ400","HV Transformer room","5000","4000","5000","20",,,"PERM","0.15","42000","48300","12000","340390","393490","516220",,,,,,,,,,,,,,,,,"13000",,,,,,,,,,"ABB transf 65000/6x1920V.  7-winding made for ACS5000 VSD. Water cooled",,,,,
"DIFF",,"E","EEET","A-27ET002",,,"EE004","27",,"100/2 kV Transformer 18 MVA 2nd Stage Compressor","Process deck","AQ400","HV Transformer room","5000","4000","5000","20",,,"PERM","0.15","42000","48300","12000","340390","399990","516220",,,,,,,,,,,,,,,,,"13000",,,,,,,,,,"ABB transf 65000/6x1920V 7-winding made for ACS5000 VSD Water cooled",,,,,
"DIFF",,"R","ERFE","A-27FE001",,,"ER020","27",,"Backflow Heater","Process deck","AP400","AP400","4000","830","1500","3.32",,,"PERM","0.15","3174","3650.1",,"308179","399279","514700",,,,,,"185",,"-46","150",,,,,,,,"540",,"22Cr Duplex",,,,,,,,"Based on previous stduy input (Exheat provided info. )",,,,,
"DIFF",,"R","ERHA","A-27HA001",,,"ER004","27",,"1st Stage Compressor Suction Cooler","Weather deck","AP500","AP500","15885","1750","2610","27.79875",,,"PERM","0.15","25610","29451.5","16450","300609","380499","524000",,,,,,"33.636","33.364","84.5","20","14028","817",,"SW",,"22801",,,"1246","Titan shell & tubes","25%Cr Duplex Heads",,,,,,"risk of changing weight due to impact of design for unmanned (type of TEMA heat exchanger)","HTRI - BEM Titanium Shell & Tubes / Duplex Heads. Tube design pressure 100 bargSW In Tempt.= 11 ?CSW Out Tempt.= 35 ?C",,,,,
"NEW",,"R","ERHA","A-27HA002",,,"ER004","27",,"Gas Export Cooler","Process deck","AP400","AP400","8600","920","1070","7.912",,,"PERM","0.15","5890","6773.5","1260",,,,,,,,,"163.5","163.05","137.7","90","1218","188",,"SW",,"5204",,,"62.7","Titan shell & tubes","25%Cr Duplex Heads",,,,,,"Uncertainty on process design/duty/size/weight ","Current sizing is based on Case A from TN C232-AI-P-RA-00010 Rev 02SW In Tempt.= 10 ?CSW Out Tempt.= 34.15 ?CGas Flow Rate = 135216 kg/hr",,,,,
,,"R","ERHB","A-27HB001",,,"ER009","27",,"VSD External Cooler (1st Stage Compressor VSD)","Process deck","AP400","AP400","1000","500","1000","0.5",,,"PERM","0.15","1250","1437.5",,"319045","391536","506925",,,,,,,,,,,,,,,,,,,"Titanium Plate ","CS Frame",,,,,,,"Based on ABB input",,,,,
,,"R","ERHB","A-27HB002",,,"ER009","27",,"VSD External Cooler (2nd Stage Compressor VSD)","Process deck","AP400","AP400","1000","500","1000","0.5",,,"PERM","0.15","1250","1437.5",,"319045","396637","506925",,,,,,,,,,,,,,,,,,,"Titanium Plate ","CS Frame",,,,,,,"Based on ABB input",,,,,
,,"J","EJJX","A-27JX001",,,"EI002","27",,"Fiscal Gas Export Metering","Process deck","AP400","AP400","9200","1500","2000","13.8",,,"PERM","0.15","4000","4600",,"297388","374219","514100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J","EJJX","A-27JX002",,,"EI002","27",,"Fiscal Gas Export Metering Analyser","Process deck","AP400","AP400 CANTILEVER","2500","2500","2500","6.25",,,"PERM","0.15","2500","2875",,"312339","373470","514000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERKA","A-27KA001","NO","A-27KZ001","ER001","27",,"1st Stage Compressor","Weather deck","AP500","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E",,"A-27KA001-M01","NO","A-27KZ001","ER001","27",,"1st Stage Compressor Motor","Weather deck","AP500","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERKA","A-27KA002","NO","A-27KZ002","ER001","27",,"2nd Stage Compressor","Weather deck","AP500","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E",,"A-27KA002-M01","NO","A-27KZ002","ER001","27",,"2nd Stage Compressor Motor","Weather deck","AP500","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERKZ","A-27KZ001","YES",,"ER001","27",,"1st Stage Compressor Skid","Weather deck","AP500","AP500","6200","4400","3600","27.28",,,"PERM","0.15","75000","86250",,"301069","384818","524116",,,,,,,,,,,,,,,,,,,,,,,,,,"Weight/Footprint due to lack of vendor information/drawings ","Based on MAN Layout- excludes noise wall.  Size information is preliminary. Skid size width increased pending gas coooling arrangment ",,,,,
"DIFF",,"R","ERKZ","A-27KZ002","YES",,"ER001","27",,"2nd Stage Compressor Skid","Weather deck","AP500","AP500","6200","4400","3600","27.28",,,"PERM","0.15","75000","86250",,"301069","391466","524116",,,,,,,,,,,,,,,,,,,,,,,,,,"Weight/Footprint due to lack of vendor information/drawings ","Based on MAN Layout- excludes noise wall.  Size information is preliminary. Skid size width increased pending gas coooling arrangment ",,,,,
,,"R",,"A-27LE001",,,,"27",,"Temporary Pig Launcher - Gas Export","Mezzanine deck","AP300","AP300 CANTILEVER","8000","600","600","4.8",,,"TEMP","0.15","7250","8337.5",,"297399","369000","508090",,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,,
"DIFF",,"R","ERPA","A-27PA001A","YES",,"ER018","27",,"1st Stage Compressor Suction Scrubber Pump A","Cellar deck","AP200","AP200","2000","1000","1000","1",,,"PERM","0.15","1370","1575.5",,"312350","383350","500110",,,,,,,,,,"92",,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow Solution / Sundstrand / Magdrive sealless pump - prevoius stdy Rated power 37 kW , Inormation to be updated ",,,,,
,,"E","ERPA","A-27PA001A-M01","NO","A-27PA001A","ER018","27",,"1st Stage Compressor Suction Scrubber Pump A Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,"42",,,,,,,,,"22Cr Duplex",,,,,,,,"Size & Weights include internals.Info based on Cameron/Subsea Construction (vessel fabricator)  ",,,,,
"DIFF",,"R","ERPA","A-27PA001B","YES",,"ER018","27",,"1st Stage Compressor Suction Scrubber Pump B","Cellar deck","AP200","AP200","2000","1000","1000","2",,,"PERM","0.15","1370","1575.5",,"312350","386350","500110",,,,,,,,,,"92",,,,,,,,,"22Cr Duplex",,,,,,,,"PG Flow Solution / Sundstrand / Magdrive sealless pump - prevoius stdy Rated power 37 kW , Inormation to be updated ",,,,,
,,"E","ERPA","A-27PA001B-M01","NO","A-27PA001B","ER018","27",,"1st Stage Compressor Suction Scrubber Pump B Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERVG","A-27VG001",,,"ER003","27",,"1st Stage Compressor Suction Scrubber","Mezzanine deck","AP300","AP300,AP400",,"3500","4800","12.25",,,"PERM","0.15","77600","89240",,"310650","378825","509600",,,,,,"100","FV","-46","110",,,,,,,,,,"P500QL2 + Alloy 625 w.o.","22%Cr Duplex (S31803)",,,,,,"FDR requirement  for Liquid carry over /K value  ","Based on SLB proposal ",,,,,
,,"E","EEER","A-41ER001",,,"ER020","41",,"Thyristor Panel - Electric Heater - Bundle HM System","Mezzanine deck","AQ300","LV swb. room 2","4000","800","2000","3.2",,,"FUT","0.15","2000","2300",,"325053","383221","509200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E",,"A-41FE001",,,"ER020","41",,"Electric Heater - Bundle HM System","Mezzanine deck","AP300","AP300","4860","1200","2000","5.832",,,"FUT","0.15","5200","5980",,"314070","400955","508535",,,,,,,,,,,,,,,"1400",,,,,,,,,,,,"Based on information from previous Krafla UPP bundle heating evaluation",,,,,
"DIFF",,"R","ERPA","A-41PA001A","YES",,"ER018","41",,"Circulation Pump A - Bundle HM System","Mezzanine deck","AP300","AP300","3560","1155","1300","4.1118",,,"FUT","0.15","2450","2817.5",,"311629","394120","507095",,,,,,,"95",,"125","50",,,,,,"136",,,,,,,,,,,"Scaled Based on information from previous Krafla UPP bundle heating evaluation",,,,,
,,"E",,"A-41PA001A-M01","NO","A-41PA001A","ER018","41",,"Circulation Pump A Motor - Bundle HM System","Mezzanine deck","AP300","SKID",,,,"0",,,"FUT","0.15",,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on information from previous Krafla UPP bundle heating evaluation",,,,,
"DIFF",,"R","ERPA","A-41PA001B","YES",,"ER018","41",,"Circulation Pump B - Bundle HM System","Mezzanine deck","AP300","AP300","3560","1155","1300","4.1118",,,"FUT","0.15","2450","2817.5",,"311629","397620","507095",,,,,,,"95",,"125","50",,,,,,"136",,,,,,,,,,,"Scaled Based on information from previous Krafla UPP bundle heating evaluation",,,,,
,,"E",,"A-41PA001B-M01","NO","A-41PA001B","ER018","41",,"Circulation Pump B Motor - Bundle HM System","Mezzanine deck","AP300","SKID",,,,"0",,,"FUT","0.15",,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on information from previous Krafla UPP bundle heating evaluation",,,,,
"DIFF",,"R","ERVL","A-41VL001",,,"ER013","41",,"Expansion Tank - Bundle HM System","Process deck","AP400","AP400",,"2500","5000","6.25",,,"FUT","0.15","5000","5750",,"313439","401599","515965",,,,,,,"11",,"125",,,,,,,,,,,,,,,,,,"Scaled Based on information from previous Krafla UPP bundle heating evaluation",,,,,
"DIFF",,"O",,"A-42HA100",,,"-","42",,"Heat Exchanger for chem cleaning of separator","Mezzanine deck","AP300","AP300","2000","300","1000","0.6",,,"TEMP","0.15","450","517.5",,"296293","392156","507500",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report",,,,,
"DIFF",,"O",,"A-42PX100A",,,"-","42",,"Circulation Pump 1 for chem cleaning of separator","Mezzanine deck","AP300","AP300","900","700","1300","0.63",,,"TEMP","0.15","160","184",,"297943","390559","507526",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report (air driven pump)",,,,,
"DIFF",,"O",,"A-42PX100B",,,"-","42",,"Circulation Pump 2 for chem cleaning of separator","Mezzanine deck","AP300","AP300","900","700","1300","0.63",,,"TEMP","0.15","160","184",,"297943","392109","507533",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report (air driven pump)",,,,,
"DIFF",,"O",,"A-42PX101A",,,"-","42",,"Circulation Pump 3 for chem cleaning of separator","Mezzanine deck","AP300","AP300","900","700","1300","0.63",,,"TEMP","0.15","160","184",,"299740","390457","507534",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report (air driven pump)",,,,,
"DIFF",,"O",,"A-42PX101B",,,"-","42",,"Circulation Pump 4 for chem cleaning of separator","Mezzanine deck","AP300","AP300","900","700","1300","0.63",,,"TEMP","0.15","160","184",,"299740","392008","507533",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report (air driven pump)",,,,,
"DIFF",,"J","ERXR","A-42XR001",,,"EI015","42",,"Chemical Distribution - Scale inhibitor ","Mezzanine deck","AP300","AP300","1600","750","2000","1.2",,,"PERM","0.15","600","690",,"319143","381000","507000",,,,,,,,,,,,,,,,,,,,,,,,,,,"From Oseberg , To UWP and Krafla wells , Size and number of connections to be revised due to new field configurairion ",,,,,
"DIFF",,"J","ERXR","A-42XR002",,,"EI015","42",,"Chemical Distribution - Asphaltene Inhibitor","Mezzanine deck","AP300","AP300","1600","750","2000","1.2",,,"PERM","0.15","600","690",,"319143","378500","507000",,,,,,,,,,,,,,,,,,,,,,,,,,,"From Oseberg , To oil export line subsea (one user)",,,,,
"DIFF",,"O",,"A-42XX100",,,"-","42",,"Circulation Tank for chem cleaning of separator","Mezzanine deck","AP300","AP300","2200","2200","2800","4.84",,,"TEMP","0.15","8000","9200",,"305300","406649","507000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report",,,,,
"NEW",,"R",,"A-43BT001",,,"ER019","43",,"Optical Monitor","Weather deck","AP500","AP500","310","230","1640","0.0529",,,"PERM","0.15","68","78.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Based on Zeeco's proposal from previous project",,,,,
"NEW",,"R",,"A-43CX001",,,"ER019","43",,"Flare Spool Piece","Flare tower","AF000","AF000",,"610","6240","0.3721",,,"PERM","0.15","1440","1656",,,,,,,,,,,,,,,,,,,,,,,"Alloy 800HT",,,,,,,,"Based on Zeeco's proposal from previous project",,,,,
,,"E","ERFE","A-43FE001","NO","A-43VD001","ER013","43",,"HP Flare KO Drum Heater","Cellar deck","AP200","SKID",,,,,,,"PERM","0.15",,,,,,,,,,,,,,,,,,,,,,,"50",,,,,,,,,,"Size and weight based on Valemon 43FE10001",,,,,
,,"R","ERFC","A-43FX001",,,"ER019","43",,"HP Flare Tip 24""","Flare tower","AF000","AF000",,"610","3000","0.3721",,,"PERM","0.15","835","960.25",,"317999","306447","612651",,,,,,,,,,,,,,,,,,,"Alloy 800HT",,,,,,,"awaiting for final process design ","24"" Flare Tip. Infor. based on Zeeco's proposal from previous project. Shall be procured as per Equinor's FA with Zeeco.",,,,,
,,"J","EJJX","A-43JX001",,,"EI002","43",,"HP Flare Metering Package","Process deck","AP400","AP400 CANTILEVER","-","400","14000","0.16",,,"PERM","0.15","400","460",,"317993","356453","534920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERPA","A-43PA001",,,"ER018","43",,"HP Flare KO Drum Booster Pump","Cellar deck","AP200","AP200 CANTILEVER","2000","2000","2000","4",,,"PERM","0.15","1300","1495",,"300674","371600","500010",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"From previous study PG Flow Solution / Sundstrand / Magdrive sealless pump - to be ipadted for Askja *UPP ",,,,,
,,"E","ERPA","A-43PA001-M01","NO","A-43PA001","ER018","43",,"HP Flare KO Drum Booster Pump Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERPF","A-43PF001","YES",,"ER008","43",,"HP Flare KO Drum Liquid Pump","Cellar deck","AP200","AP200 CANTILEVER","1600","2000","2000","3.2",,,"PERM","0.15","3000","3450","300","296274","373400","500010",,,,,,,,,,"15",,,,,,,,,"22Cr Duplex",,,,,,,,"From previuos stdu . LEWA G3F  type membrane pump. -to be ipadted for Askja *UPP ",,,,,
,,"E","ERPA","A-43PF001-M01","NO","A-43PF001","ER008","43",,"HP Flare KO Drum Liquid Pump Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERVD","A-43VD001","YES",,"ER013","43",,"HP Flare KO Drum","Cellar deck","AP200","AP200 CANTILEVER","12000","3900","0","46.8",,,"PERM","0.15","37000","42550","63000","311000","371000","503490",,,,,,"12","FV","-101","110",,,,,,,,,,"6MO",,,,,,,"awaiting for final process design ","Weight include internals MEL info from Subsea Construction (vessel fabricator). ",,,,,
,,"R","ERXX","A-43XX001",,,"ER019","43",,"Ballistic Ignition Package","Process deck","AP400","AP400 CANTILEVER","2400","800","2400","1.92",,,"PERM","0.15","1920","2208",,"319730","377430","512763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERFC","A-43XX002",,,"ER019","43","?","High Energy Ignition Package","Process deck","AP400","AP400 CANTILEVER","2000","1250","2230","2.5","?","?","PERM","0.15","650","747,5","?","318930","373480","512763",,,,,,,,,,,,,,,,,,,,,,,,,,,"Weight and Size based on JS HEI Panel. ",,,,,
,,"R","ERXX","A-43XX003",,,"ER019","43","?","Propane Bottle Rack","Mezzanine deck","AP300","AP300","1200","750","2000","0.9","?","?","PERM","0.15","500","575,0",,"335270","400768","521000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Inhouse estimated ",,,,,
"NEW",,"R",,"A-43XX004",,,"ER019","43",,"Ballistic Striker Assembly","Flare tower","AF000","AF000",,"762","6770","0.580644",,,"PERM","0.15","990","1138.5",,,,,,,,,,,,,,,,,,,,,,,"Alloy 800HT",,,,,,,,"Based on Zeeco's proposal from previous project",,,,,
,,"E","EEER","A-46ER001A",,,,"46",,"VSD drive HP MEG Pump A","Mezzanine deck","AQ300","LV swb. room 1","1250","600","2200","0.75",,,"FUT","0.15","600","690",,"323675","395078","509401",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ref Dvalin MEG VSD",,,,,
,,"E","EEER","A-46ER001B",,,,"46",,"VSD drive HP MEG Pump B","Mezzanine deck","AQ300","LV swb. room 1","1250","600","2200","0.75",,,"FUT","0.15","600","690",,"324885","395078","509401",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ref Dvalin MEG VSD",,,,,
,,"E","EEER","A-46ER002A",,,,"46",,"VSD drive LP MEG Pump A","Mezzanine deck","AQ300","LV swb. room 1","1250","600","2200","0.75",,,"FUT","0.15","600","690",,"323675","393078","509401",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ref Dvalin MEG VSD",,,,,
,,"E","EEER","A-46ER002B",,,,"46",,"VSD drive LP MEG Pump B","Mezzanine deck","AQ300","LV swb. room 1","1250","600","2200","0.75",,,"FUT","0.15","600","690",,"324885","393078","509401",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ref Dvalin MEG VSD",,,,,
,,"R","ERPB","A-46PB001A","YES",,,"46",,"HP MEG Injection Pump A","Cellar deck","AP200","AP200 CANTILEVER","3406","1906","2200","6.491836",,,"FUT","0.15","5000","5750",,"300500","404710","500090",,,,,,,,,,,,,,,,,,,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"E",,"A-46PB001A-M01","NO","A-46PB001A",,"46",,"HP MEG Injection Pump A Motor ","Mezzanine deck","AP300","SKID",,,,"0",,,"FUT",,,,,"0","0","0",,,,,,,,,,,,,,,,,"200",,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"R","ERPB","A-46PB001B","YES",,,"46",,"HP MEG Injection Pump B","Cellar deck","AP200","AP200 CANTILEVER","3406","1906","2200","6.491836",,,"FUT","0.15","5000","5750",,"295000","405550","500090",,,,,,,,,,,,,,,,,,,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"E",,"A-46PB001B-M01","NO","A-46PB001B",,"46",,"HP MEG Injection Pump B Motor ","Mezzanine deck","AP300","SKID",,,,,,,"FUT",,,,,"0","0","0",,,,,,,,,,,,,,,,,"200",,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"R","ERPB","A-46PB002A","YES",,,"46",,"LP MEG Injection Pump A","Cellar deck","AP200","AP200","3406","1906","2200","6.491836",,,"FUT","0.15","5000","5750",,"294000","399830","500090",,,,,,,,,,,,,,,,,,,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"E",,"A-46PB002A-M01","NO","A-46PB001C",,"46",,"LP MEG Injection Pump A Motor ","Mezzanine deck","AP300","SKID",,,,,,,"FUT",,,,,"0","0","0",,,,,,,,,,,,,,,,,"150",,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"R","ERPB","A-46PB002B","YES",,,"46",,"LP MEG Injection Pump B","Cellar deck","AP200","AP200","3406","1906","2200","6.491836",,,"FUT","0.15","5000","5750",,"294000","391330","500090",,,,,,,,,,,,,,,,,,,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
,,"E",,"A-46PB002B-M01 ","NO","A-46PB001D",,"46",,"LP MEG Injection Pump B Motor ","Mezzanine deck","AP300","SKID",,,,,,,"FUT",,,,,"0","0","0",,,,,,,,,,,,,,,,,"150",,,,,,,,,,"Skid mounted w/noise enclosure ",,,,,
"DIFF",,"R","ERVL","A-46VL001",,,"ER013","46",,"MEG Storage Tank","Weather deck","AP500","AP500",,"2700","6500","7.29",,,"FUT","0.15","7000","8050",,"296898","377543","523464",,,,,,,,,,,,,,,,,,,"22Cr Duplex",,,,,,,,"40m3 storage volume, vertical vessel",,,,,
,,"E","EEER","A-47ER001A",,,"ER015","47",,"Electrochlorination Transformer / Rectifier","Mezzanine deck","AQ300","MV Transformer room","1200","1100","1400","1.32",,,"PERM","0.15","700","805",,"338073","391099","508392",,,,,,,,,,,,,,,,,"50",,,,,,,,,,"Size and weigh based on Cumberland proposal",,,,,
,,"E","EEER","A-47ER001B",,,"ER015","47",,"Electrochlorination Transformer / Rectifier","Mezzanine deck","AQ300","MV Transformer room","1200","1100","1400","1.32",,,"PERM","0.15","700","805",,"339673","391099","508392",,,,,,,,,,,,,,,,,"50",,,,,,,,,,"Size and weigh based on Cumberland proposal",,,,,
"DIFF",,"R","ERXX","A-47XX001",,,"ER015","47",,"Electro-Chlorination  Skid","Mezzanine deck","AP300","AP300","5500","3400","3200","18.7",,,"PERM","0.15","5700","6555",,"295195","398557","507728",,,,,,"17","FV","-10","50",,,,,,,,,,"Titanium Tubes",,,,,,,"pending decision for ATEX certification /filtration inside package ","Size and weigh based on Cumberland proposal from similar project. To be updated for Askja UPP",,,,,
"DIFF",,"R","ERPA","A-50PA001A","YES",,"ER018","50",,"Hot Seawater Circulation Pump A","Process deck","AP400","AP400","3200","1400","1600","4.48",,,"PERM","0.15","3500","4025","50","312844","392748","514090",,,,,,"17","FV","-10","100","700",,,,,,"150",,,"Titanium",,,,,,,,"Weight & Size scaled Info based on Sulzer for previus study  ,  to be updated for Askja UPP",,,,,
"DIFF",,"E","ERPH","A-50PA001A-M01","NO","A-50PA001A","ER018","50",,"Hot Seawater Circulation Pump A Motor","Process deck","AP400","SKID",,,,,,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERPA","A-50PA001B","YES",,"ER018","50",,"Hot Seawater Circulation Pump B","Process deck","AP400","AP400","3200","1400","1600","4.48",,,"PERM","0.15","3500","4025","50","312845","395748","514090",,,,,,"17","FV","-10","100","700",,,,,,"150",,,"Titanium",,,,,,,,"Weight & Size scaled Info based on Sulzer for previus study  ,  to be updated for Askja UPP",,,,,
"DIFF",,"E","ERPA","A-50PA001B-M01","NO","A-50PA001B","ER018","50",,"Hot Seawater Circulation Pump B Motor","Process deck","AP400","SKID",,,,,,,"PERM",,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"R","ERPH","A-50PH001A","YES",,"ER011","50",,"Seawater Lift Pump A","Cellar deck","AP200","AP200","1400","1400","40000","1.96",,,"PERM","0.15","16000","18400","5000","319245","400299","500389",,,,,,,,,,"2500",,,,,,"950",,,"25%Cr Duplex",,,,,,,,"Lineshaft pump - Eureka",,,,,
,,"E","ERPH","A-50PH001A-M01","NO","A-50PH001A","ER011","50",,"Seawater Lift Pump A Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,,,,,,,,,,,,,,,,,,,,"800",,"25%Cr Duplex",,,,,,,,,,,,,
