"Tag_Status","Building_block","Discipline","Cost_Code_COR","Tag_Number","Top_Tag","Skid_Ref","PO_Package_Number","System_Number","Equinor_Equipment_Category_1_4","Equipment_TypeDescription","Area","Sub_Area","Function_Area","L_or_TT_mm","W_or_ID_mm","H_or_TT_mm","Footprint_m2","Modification_Phase_Code","Modification_Construction_Code","Modification_Handling_Code","Allowance_prct","Net_Dry_Weight_kg","Gross_Dry_Weight_kg","Content_Weight_kg","Dry_CoGEast_mm","Dry_CoGNorth_mm","Dry_CoGElevation_mm","Price_Source","CostProj_currency","Cost_Date","Exch_rate","NOK","Pressure_1Barg","Pressure_2Barg","Temp_1degC","Temp_2degC","Flow_rate_1m3_or_hr","Flow_rate_2m3_or_hr","Capacity_m3","Heat_transfer_medium_type","SpeedRPM","Heat_Exchanged_per_Unit_kW","Shaft_Power_kW","Rated_Power_kW","Heat_Transfer_Surface_Aream2","Material_1","Material_2","Reference_or_Source","Referencedoc_dwg_PID_etc","RiskWeight_accuracy","RiskFootprint_accuracy","RiskDesign_basis","Risk_comments","Remarks","Iso_159264_Physical_RDL_","Iso_159264_Physical_Description_","Iso_159264_Activity_RDL_","Iso_159264_Activity_Description_","Posccesar_RDL_"
,,"R","ERPH","A-50PH001B","YES",,"ER011","50",,"Seawater Lift Pump B ","Cellar deck","AP200","AP200","1400","1400","40000","1.96",,,"PERM","0.15","16000","18400","5000","319245","398149","500389",,,,,,,,,,"2500",,,,,,"950",,,"25%Cr Duplex",,,,,,,,"Lineshaft pump - Eureka ",,,,,
,,"E","ERPH","A-50PH001B-M01","NO","A-50PH001B","ER011","50",,"Seawater Lift Pump B Motor","Cellar deck","AP200","SKID","0","0","0","0",,,"PERM",,,"0",,"0","0","0",,,,,,,,,,,,,,,,,"800",,,,,,,,,,,,,,,
,,"R","ERXX","A-50XX001",,,"ER012","50",,"Seawater Filtration Package","Mezzanine deck","AP300","AP300","6000","3000","5200","18",,,"PERM","0.15","18000","20700","4700","299000","400850","506708",,,,,,"17","FV","-10","50",,,,,,,,,,"25%Cr Duplex",,,,,,,"Pending decision on filter skid configuration vs single filter skid ","Based on Filtrex proposal ",,,,,
,,"O",,"A-55XX100",,,"-","55",,"Steam Unit","Weather deck","AP500","AP500 TEMP","3600","2400","3000","8.64",,,"TEMP","0.15","8400","9660",,"331650","390378","520998",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report",,,,,
,,"R","ERTB","A-56TB001",,,"ER014","56",,"Open Drain Tank","W2W deck","AP100","AP100","2000","2000","2000","4",,,"PERM","0.15","2800","3220","7500","347824","395520","496642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"O",,"A-64XX100",,,"-","64",,"Nitrogen Bottle Rack","Weather deck","AP500","AP500 TEMP","2200","2000","2500","4.4",,,"TEMP","0.15","7950","9142.5",,"334770","396768","521000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipmeent for chem cleaning of separator - based on information from IKM report",,,,,
,,"J","EJJB","A-71JC003A",,,"EI101","71",,"SAS Controller Node Cabinet (F&G) Askja UWP","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"329500","403602","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J","EJJB","A-71JC003B",,,"EI101","71",,"SAS Controller Node Cabinet (ESD) Askja UWP","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"328498","403602","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"R","ERMA","A-73MA001",,,"ER016","73",,"Pedestal Crane","Crane","AK000","NA","50000","4000","9600","200",,,"PERM","0.15","117000","134550",,"338513","407602","531206",,,,,,,,,,,,,,,,,,,,,,,,,,,"General Purpose Offshore Crane, All electric wire luffing type - Based on Castberg crane design",,,,,
"DIFF",,"R",,"A-73ME001",,,,"73",,"Floorbased mini crane","Weather deck","AP500","AP500 TEMP","3800","3800","2600","14.44",,,"TEMP","0.15","1800","2070",,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipment to be brought in via the sypply vessel and mobilized as required by Operator ",,,,,
,,"R",,"A-73MK002",,,,"73",,"Temporary Umbilical Winch","Weather deck","AP500","AP500 TEMP","2800","2500","3591","7",,,"TEMP","0.15","7870","9050.5",,"331565","399113","521005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipment",,,,,
"NEW",,"R","ERMX","A-73MX001",,,"ER016","73",,"Pedestal Adapter","Crane","AK000",,"3200","3200","3500","10.24",,,"PERM","0.15","17300","19895",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Main dimension - access paltform has ring radious of around 6 meters. Based on Castberg crane design",,,,,
"DIFF",,"R","ERMX","A-73MX002",,,"ER016","73",,"Crane Pedestal ","Crane","AK000","NA",,"3200","13000","10.24",,,"PERM","0.15","35000","40250",,"344500","407400","521005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Preliminary inhouse estimate ",,,,,
,,"R",,"A-73MZ002",,,,"73",,"Temporary HPU for Umbilical Winch","Weather deck","AP500","AP500 TEMP","2378","2438","2591","5.797564",,,"TEMP","0.15","9000","10350",,"331047","394368","521000",,,,,,,,,,,,,,,,,,,,,,,,,,,"Temporary equipment",,,,,
,,"S",,"A-76SX001",,,"ES001","76",,"Temporary Escape Chute","Stair tower east","AQ110","AQ110","2100","1400","1400","2.94",,,"TEMP","0.15","1200","1380",,"348940","390950","499280",,,,,,,,,,,,,,,,,,,,,,,,,,,"Viking SES Basic chute - note this is temporary equipment.  No special design increasing the cost from a normal chute. Coordinates gotten from Martine 02.02.2021",,,,,
"DIFF",,"H","EGGX","A-77GX001",,,"EH001","77",,"HVAC Recirculation Unit","Mezzanine deck","AQ300","HVAC","8910","2600","4400","23.166",,,"PERM","0.15","10500","12075",,"337624","382646","507002",,,,,,,,,,"32000",,,,,,,"11",,,,,,,,,,"Based on Covent AS provided info and Novenco standard drawing",,,,,
"NEW",,"E","EEER","A-77ER001A",,,"EH001","77",,"VSD for Recirculation Unit A","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"325650","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEER","A-77ER001B",,,"EH001","77",,"VSD for Recirculation Unit B","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"325170","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"H","EGGX","A-77GX002",,,"EH001","77",,"HVAC Air Handling Unit - Fresh Air","Cellar deck","AQ200","HVAC","8910","3980","5600","35.4618",,,"PERM","0.15","21750","25012.5",,"342549","395993","500100",,,,,,,,,,"63000",,,,,,,"164",,,,,,,,,,"Based on Covent AS provided info and Novenco standard drawing",,,,,
"NEW",,"E","EEER","A-77ER002A",,,"EH001","77",,"VSD for Air handling Unit A","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"324690","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEER","A-77ER002B",,,"EH001","77",,"VSD for Air handling Unit B","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"324210","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"H","EGGX","A-77GX003",,,"EH001","77",,"HVAC Extract Unit","Cellar deck","AQ200","HVAC","6600","2600","5600","17.16",,,"PERM","0.15","7500","8625",,"336295","396611","500002",,,,,,,,,,"63000",,,,,,,"21",,,,,,,,,,"Based on Covent AS provided info and Novenco standard drawing",,,,,
"NEW",,"E","EEER","A-77ER003A",,,"EH001","77",,"VSD for Air Exact Unit A","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"323730","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEER","A-77ER003B",,,"EH001","77",,"VSD for Air Exact Unit B","Mezzanine deck","AQ300","LV swb. room 1","430","610","2150","0.2623",,,"PERM","0.15","240","276",,"323250","389320","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"H","EEFE","A-77FE002",,,"EH001","77",,"Re-heater for Battery room A","Cellar deck","AQ200","Battery room A","300","300","300","0.09",,,"PERM","0.15","20","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"H","EEFE","A-77FE003",,,"EH001","77",,"Re-heater for battery room B","Cellar deck","AQ200","Battery room B","300","300","300","0.09",,,"PERM","0.15","20","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEER","A-77ER004A",,,"EH001","77",,"Thyristor Panel for Air Heater A  ","Mezzanine deck","AQ300","LV swb. room 2","1000","400","1900","0.4",,,"PERM","0.15","300","345",,"329767","384180","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEER","A-77ER004B",,,"EH001","77",,"Thyristor Panel for Air Heater B","Mezzanine deck","AQ300","LV swb. room 2","1000","400","1900","0.4",,,"PERM","0.15","300","345",,"329767","383170","509300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"H","EGGX","A-77GX003",,,"EH001","77",,"HVAC Extract Unit","Cellar deck","AQ200","HVAC","6600","2600","5600","17.16",,,"PERM","0.15","7500","8625",,"336295","396611","500002",,,,,,,,,,"63000",,,,,,,"21",,,,,,,,,,"Based on Covent AS provided info and Novenco standard drawing",,,,,
,,"J","EJJB","A-79JC001A",,,"EI101","79",,"SAS Controller Node Cabinet (PSD) Askja UWP","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"326494","403602","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"J","EJJB","A-79JC001B",,,"EI101","79",,"SAS Controller Node Cabinet (PCS) Askja UWP","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","200","230",,"327496","403602","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEEH","A-80EH101",,,"EE002","80",,"100 kV Gas Insulated Switchgear","Process deck","AQ400","HV GIS room","6000","4800","3600","28.8",,,"PERM","0.15","17500","20125",,"328377","380515","515516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW",,"E","EEEH","A-80EH001",,,"EE002","80",,"11 kV Switchgear A/B","Mezzanine deck","AQ300","HV equipment room","14000","1200","2600","16.8",,,"PERM","0.15","18521.7391304348","21300",,"333058","378115","509500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEET","A-80ET001",,,"EE001","80",,"100 kV Earthing transformer","Process deck","AQ400","HOLD",,,,,,,,,,,,"0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,"To be decided later ",,,,,
"DIFF",,"E","EEET","A-80ET001A",,,"EE001","80",,"100/11 kV Transformer 12.5 MVA","Process deck","AQ400","HV Transformer room","5000","4000","4800","20",,,"PERM","0.15","35000","40250","9971.80480677185","340390","382490","516220",,,,,,,,,,,,,,,,,"12500",,,,,,,,,"size/rating may increase depending on maturity of system design and selection of pipeheating solution ","Air cooled KNAN transformer",,,,,
"DIFF",,"E","EEET","A-80ET001B",,,"EE001","80",,"100/11 kV Transformer 12.5 MVA","Process deck","AQ400","HV Transformer room","5000","4000","4800","20",,,"PERM","0.15","35000","40250","9971.80480677185","340290","375840","516220",,,,,,,,,,,,,,,,,"12500",,,,,,,,,"size/rating may increase depending on maturity of system design and selection of pipeheating solution ","Air cooled KNAN transformer",,,,,
"DIFF",,"E","EEEY","A-80EY001A",,,"EE001","80",,"Neutral Earhing Resistor","Process deck","AQ400","HV Transformer room","1300","1000","1800","1.3",,,"PERM","0.15","1200","1380",,"335000","380800","514985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEEY","A-80EY001B",,,"EE001","80",,"Neutral Earhing Resistor","Process deck","AQ400","HV Transformer room","1300","1000","1800","1.3",,,"PERM","0.15","1200","1380",,"335000","376950","514935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-82EL010",,,"EE005","82",,"400 V Main Distribution Board","Mezzanine deck","AQ300","LV swb. room 1","4000","600","2200","2.4",,,"PERM","0.15","1500","1725",,"332194","400637","509350",,,,,,,,,,,,,,,,,,,,,,,,,,"size of the 400/230 V DB may increase during detial  design phase",,,,,,
,,"E","EEEL","A-82EL020",,,"EE005","82",,"400 V Main Distribution Board","Mezzanine deck","AQ300","LV swb. room 1","4000","600","2200","2.4",,,"PERM","0.15","1500","1725",,"332194","393137","509350",,,,,,,,,,,,,,,,,,,,,,,,,,"size of the 400/230 V DB may increase during detial  design phase",,,,,,
"DIFF",,"E","EEEN","A-82EN001",,,"EE002","82",,"690 V Switchboard A/B","Mezzanine deck","AQ300","LV swb. room 1","10000","1200","2200","12",,,"PERM","0.15","5500","6325",,"328303","395981","509300",,,,,,,,,,,,,,,,,,,,,,,,,,"30% contingency included based on current design. However, size of 690 V SWB may increase when process/utility design maturs in FEED detial phase ",,,,,,
"DIFF",,"E","EEEN","A-82EN002",,,"EE002","82",,"690 V Switchboard C","Mezzanine deck","AQ300","LV swb. room 2","4000","800","2200","3.2",,,"PERM","0.15","2500","2875",,"325053","384121","509200",,,,,,,,,,,,,,,,,,,,,,,,,,"30% contingency included based on current design. However, size of 690 V SWB may increase when process/utility design maturs in FEED detial phase ",,,,,,
,,"E","EEET","A-82ET001A",,,"EE001","82",,"11/0.69 kV Transformer A 3150 kVA","Mezzanine deck","AQ300","MV Transformer room","2900","1700","2600","4.93",,,"PERM","0.15","6800","7820",,"334775","399032","508295",,,,,,,,,,,,,,,,,"3150",,,,,,,,,,"Dry type air cooled transformer",,,,,
,,"E","EEET","A-82ET001B",,,"EE001","82",,"11/0.69 kV Transformer B 3150 kVA","Mezzanine deck","AQ300","MV Transformer room","2900","1700","2600","4.93",,,"PERM","0.15","6800","7820",,"334772","394924","508295",,,,,,,,,,,,,,,,,"3150",,,,,,,,,,"Dry type air cooled transformer",,,,,
"DIFF",,"E","EEET","A-82ET002",,,"EE001","82",,"11/0.69 kV Transformer C 3150 kVA","Mezzanine deck","AQ300","MV Transformer room","2900","1700","2600","4.93",,,"PERM","0.15","6800","7820",,"335115","391167","508295",,,,,,,,,,,,,,,,,"3150",,,,,,,,,,"Dry type air cooled transformer",,,,,
"DIFF",,"E","EEET","A-82ET003",,,"EE001","82",,"11/0.69 kV Transformer 690 kVA - Essential Power","Mezzanine deck","AQ300","MV Transformer room","2000","1200","1800","2.4",,,"PERM","0.15","4500","5175",,"324800","373115","508350",,,,,,,,,,,,,,,,,"3150",,,,,,,,,,"Dry type air cooled transformer",,,,,
,,"E","EEET","A-82ET010",,,"EE004","82",,"690/400 V Transformer 315 kVA","Mezzanine deck","AQ300","MV Transformer room","1900","1300","1500","2.47",,,"PERM","0.15","1400","1610",,"343048","394439","507885",,,,,,,,,,,,,,,,,"315",,,,,,,,,"Size may increase if it is decided to be 2x100% on 400 V distribution system",,,,,,
,,"E","EEET","A-82ET020",,,"EE004","82",,"690/400 V Transformer 315 kVA","Mezzanine deck","AQ300","MV Transformer room","1900","1300","1500","2.47",,,"PERM","0.15","1400","1610",,"343048","391939","507885",,,,,,,,,,,,,,,,,"315",,,,,,,,,"Size may increase if it is decided to be 2x100% on 400 V distribution system",,,,,,
"DIFF",,"E","EEEY","A-82EY001A",,,"EE001","82",,"Neutral Earhing Resistor","Mezzanine deck","AQ300","MV Transformer room","500","350","600","0.175",,,"PERM","0.15","30","34.5",,"333067","396978","507940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEEY","A-82EY001B",,,"EE001","82",,"Neutral Earhing Resistor","Mezzanine deck","AQ300","MV Transformer room","500","350","600","0.175",,,"PERM","0.15","30","34.5",,"333067","392928","507940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEEY","A-82EY002",,,"EE001","82",,"Neutral Earhing Resistor","Mezzanine deck","AQ300","MV Transformer room","500","350","600","0.175",,,"PERM","0.15","30","34.5",,"333067","389428","507940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEEB","A-85EB001A",,,"EE003","85",,"UPS Battery Bank A","Mezzanine deck","AQ300","Battery room A","10500","800","1675","8.4",,,"PERM","0.15","13700","15755",,"340475","384547","500900",,,,,,,,,,,,,,,,,,,,,,,,,,"uncertainties related to change of battery type and potential increase of UPS loads ",,,,,,
"DIFF",,"E","EEEB","A-85EB001B",,,"EE003","85",,"UPS Battery Bank B ","Cellar deck","AQ200","Battery room B","10500","800","1675","8.4",,,"PERM","0.15","13700","15755",,"340475","379622","500900",,,,,,,,,,,,,,,,,,,,,,,,,,"uncertainties related change of battery type and potential increase of UPS loads ",,,,,,
"DIFF",,"E","EEEB","A-85EB002",,,"EE006","85",,"Navaid Battery Bank","Cellar deck","AQ200","UPS room A","570","940","680","0.5358",,,"PERM","0.15","135","155.25",,"336100","383300","501650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"E","EEEC","A-85EC002",,,"EE006","85",,"Navaid Control Panel","Cellar deck","AQ200","UPS room A","900","350","1150","0.315",,,"PERM","0.15","150","172.5",,"336450","384650","501200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL010A",,,"EE003","85",,"400/230 VAC UPS Distribution Board A","Cellar deck","AQ200","UPS room A","1800","650","2000","1.17",,,"PERM","0.15","500","575",,"333016","385804","502200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL010B",,,"EE003","85",,"400/230 VAC UPS Distribution Board B","Cellar deck","AQ200","UPS room B","1800","650","2000","1.17",,,"PERM","0.15","500","575",,"336050","378427","502200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL011A",,,"EE003","85",,"400/230 VAC UPS Sub Distribution Board A","Mezzanine deck","AQ300","CER 1","900","650","2000","0.585",,,"PERM","0.15","250","287.5",,"332927","399190","502260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL011B",,,"EE003","85",,"400/230 VAC UPS Sub Distribution Board B","Mezzanine deck","AQ300","CER 1","900","650","2000","0.585",,,"PERM","0.15","250","287.5",,"332927","390490","502260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL012A",,,"EE003","85",,"400/230 VAC UPS Sub Distribution Board A","Cellar deck","AQ200","CER 2","900","650","2000","0.585",,,"PERM","0.15","250","287.5",,"327256","371907","502260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEEL","A-85EL012B",,,"EE003","85",,"400/230 VAC UPS Sub Distribution Board B","Cellar deck","AQ200","CER 2","900","650","2000","0.585",,,"PERM","0.15","250","287.5",,"328286","371907","502260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E","EEER","A-85ER001A",,,"EE003","85",,"400 VAC 3-phase UPS A, 240 kVA","Cellar deck","AQ200","UPS room A","4000","800","2100","3.2",,,"PERM","0.15","5000","5750",,"332969","383353","502200",,,,,,,,,,,,,,,,,"240",,,,,,,,,"potential increase in detial design phase, also depending on selection of supplier",,,,,,
"DIFF",,"E","EEER","A-85ER001B",,,"EE003","85",,"400 VAC 3-phase UPS B, 240 kVA","Cellar deck","AQ200","UPS room B","4000","800","2100","3.2",,,"PERM","0.15","5000","5750",,"332970","377953","502200",,,,,,,,,,,,,,,,,"240",,,,,,,,,"potential increase in detial design phase, also depending on selection of supplier",,,,,,
,,"E",,"A-85EX002",,,"EE006","85",,"Navaid Battery Breaker","Cellar deck","AQ200","UPS room A","300","160","680","0.048",,,"PERM","0.15","65","74.75",,"336300","384200","501600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E",,"A-85EZ001",,,"EE006","85",,"Navaid Main and Secondary Light","Cellar deck","AQ200","Cellar deck","800","400","1900","0.32",,,"PERM","0.15","250","287.5",,"346600","406450","501000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"E",,"A-85EZ002",,,"EE006","85",,"Navaid Sub Light","Cellar deck","AQ200","Cellar deck","700","400","600","0.28",,,"PERM","0.15","30","34.5",,"347250","369300","501000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRA","A-86RA001",,,"ET001","86",,"GA Cabinet #1 A system","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"325492","403602","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRA","A-86RA002",,,"ET001","86",,"GA Cabinet #2 B system","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"325288","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRC","A-86RC001",,,"ET001","86",,"Closed Circuit Television (CCTV) Cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"326290","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRO","A-86RO001",,,"ET001","86",,"Distribution Cabinet Office Data Network","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"327292","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRO","A-86RO002",,,"ET001","86",,"Distribution Cabinet Technincal data network","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"328294","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRO","A-86RO003",,,"ET001","86",,"Distribution Cabinet Fibre cable links","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"329296","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRO","A-86RO004",,,"ET001","86",,"MPLS Cabinet Route bundle A","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"328294","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRO","A-86RO005",,,"ET001","86",,"MPLS Cabinet Route bundle B","Cellar deck","AQ200","CER 1","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"326290","381938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRR","A-86RR001",,,"ET001","86",,"Radar and AIS Cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"325288","383938","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRR","A-86RR002",,,"ET001","86",,"VTMS Radar Antenna # 1 and Antenna Control Unit # 1","Weather deck","AP500","AP500 CANTILEVER","2800","2800","2730","7.84",,,"PERM","0.15","1100","1265",,"346300","368450","521000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRR","A-86RR003",,,"ET001","86",,"OSD Radar Antenna # 1 and Antenna Control Unit # 1","Weather deck","AP500","AP500 E","1100","800","800","0.88",,,"PERM","0.15","200","230",,"346300","368450","521000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS001",,,"ET001","86",,"Optical JB Communication to shore bundle A","Cellar deck","AQ200","CER 2","1000","800","400","0.8",,,"PERM","0.15","100","115",,"327000","377800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS002",,,"ET001","86",,"Optical JB Communication to shore bundle B","Cellar deck","AQ200","CER 2","1000","800","400","0.8",,,"PERM","0.15","100","115",,"325800","377800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS003",,,"ET001","86",,"Optical JB Communication to NoA PdQ bundle A","Cellar deck","AP200","Cellar deck","1000","800","400","0.8",,,"PERM","0.15","100","115",,"327000","374800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS004",,,"ET001","86",,"Optical JB Communication to NoA PdQ bundle B","Cellar deck","AP200","Cellar deck","1000","800","400","0.8",,,"PERM","0.15","100","115",,"325800","374800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"T","ETRS","A-86RS005",,,"ET001","86",,"Optical JB Communication to Krafla UWP and shore bundle A","Cellar deck","AQ200","CER 2","1000","800","400","0.8",,,"PERM","0.15","100","115",,"330400","377800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DIFF",,"T","ETRS","A-86RS006",,,"ET001","86",,"Optical JB Communication to Krafla UWP and shore bundle B","Cellar deck","AQ200","CER 2","1000","800","400","0.8",,,"PERM","0.15","100","115",,"329200","377800","502800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS007",,,"ET001","86",,"Optical JB Communication to Askja UWP bundle A","Process deck","AP300","Process deck","1000","800","400","0.8",,,"PERM","0.15","100","115",,"294000","403600","515800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRS","A-86RS008",,,"ET001","86",,"Optical JB Communication to Askja UWP bundle B","Process deck","AP300","Process deck","1000","800","400","0.8",,,"PERM","0.15","100","115",,"295200","403600","515800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRX","A-86RX001",,,"ET001","86",,"Tetra/UHF and PRS cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"330298","379538","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRX","A-86RX002",,,"ET001","86",,"Bird Deterrent System Cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"329296","379538","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"T","ETRX","A-86RX003",,,"ET001","86",,"4G/5G and robotics Cabinet","Cellar deck","AQ200","CER 2","1000","800","2200","0.8",,,"PERM","0.15","400","460",,"328294","379538","502360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
